object_name,object_type,current_status,source_script,current_location,recommended_location,decision_reason,linked_reproducibly
tab_theory_operationalization,table,in_paper,scripts/47_theory_operationalization_audit.R,sec4_data_v15 (§4.2),main §3 (post-theory),"Maps separating-equilibrium primitives → empirical statistics. Becomes load-bearing under JLEO frame: shows what the theory implies for what is observable under coarsened data.",partial (caption macros only)
tab_strict_train_threshold,table,in_paper,scripts/53_strict_train_period_threshold.R,sec4_data_v15 (§4.2),main §4 (data + temporal honesty),"Temporal honesty of the screening statistic; survives JLEO frame as evidence that the participation primitive is stable out-of-sample.",partial
tab_desc_stats,table,in_paper,scripts/03_tables.R,sec4_data_v15 (§4.3),main §4,"Descriptive statistics by FL presence; needed for sample-construction transparency.",no (literal cells)
tab_prices,table,in_paper,scripts/02_analysis.R + 03_tables.R,sec_results_v15 (§7.1),main §6 (broad-sample evidence),"Headline table — broad-sample price association across four estimators. Becomes Table 1 of the new core, recast as ""screening-value evidence"".",yes (all 20 cells macro-bound — Table 6 fix)
tab_falsification_modal,table,in_paper,scripts/46_falsification_pregao_only.R,sec_results_v15 (§7.1) + appendix B.4,main §6 (modal contrast),"Pregão > convite contrast: under JLEO frame becomes ""informativeness across detection environments"", not falsification of quorum rule.",partial
tab_horse_race_v14,table,in_paper,scripts/34_horse_race_fl_continuous.R + 36_gate_d1_harmonized.R,sec_mechanisms_v15 (§8.1),main §6 or §7 (theory→test),"Continuous log(1+tc) dominates binary FL14. Under JLEO frame: empirical test of which statistic survives data coarsening. Promote.",partial
tab_negative_cell_audit,table,in_paper,scripts/50_negative_cell_audit.R,sec_mechanisms_v15 (§8.3),appendix,"Cell heterogeneity that does not adjudicate. Demote.",no
tab_item_level_scope_match,table,in_paper,scripts/51_item_level_scope_match.R,sec_robustness_v15 (§9.1),main §6.2 (sign-reversal centerpiece),"Overlap-cell ATT and PS-trimmed ATT. Under JLEO frame this becomes the centerpiece of §6.2 (screening-value vs treatment-effect distinction). PROMOTE.",partial
tab_iv_placebo,table,in_paper,scripts/02_analysis.R,sec_robustness_v15 (§9.2),appendix,"Placebo IV with sub-threshold always-losers. Useful but not core under JLEO frame.",no
tab_oster_delta,table,in_paper,scripts/02_analysis.R + 05_robustness.R,sec_appendix_v15 (app B/C),appendix,"Cinelli–Oster sensitivity bounds. Keep in appendix; cited from main §6.",partial (delta hardcoded in prose)
tab_leakage_audit,table,in_paper,scripts/40_leakage_audit_d3.R,sec_appendix_v15 (app C),appendix,"Leakage audit (item-level CV + temporal holdout). Anti-leakage transparency block; appendix only.",partial
tab_threshold_robustness,table,in_paper,scripts/05_robustness.R + 54_threshold_table_q3iqr.R,sec_appendix_v15,appendix,"Robustness to IQR multiplier (1.0×–3.0×). Standard appendix item.",no
tab_clustering_robustness,table,in_paper,scripts/05_robustness.R,sec_appendix_v15,appendix,"Item / PBU / two-way clustering. Appendix.",no
tab_operational_metrics,table,in_paper,scripts/42_operational_metrics.R + 43_precision_at_k_audit.R,sec_robustness_v15 (§9.3),appendix,"Precision/recall/lift at top-k. Under JLEO frame this is operational/managerial — moves to appendix as deployability evidence.",no
tab_imhof_full,table,in_paper,scripts/31_imhof_full_pipeline.R,sec_robustness_v15 (§9.4),main §7 (screening vs forensic stages),"Imhof–Wallimann pipeline benchmark. Under JLEO frame becomes evidence on the screening-vs-forensic separation: the same data layer answers different questions. PROMOTE to main.",no
tab_imhof_incremental,table,in_paper,scripts/49_imhof_incremental_value.R,sec_appendix_v15,appendix,"Incremental value of FL screen on top of Imhof features. Appendix robustness.",no
tab_adversarial_adaptation,table,in_paper,scripts/55_adversarial_adaptation.R,sec_appendix_v15 (app G),appendix,"Resilience to strategic cartel adaptation. Appendix.",partial (\valAdapt* macros)
tab_did_revised,table,in_paper,scripts/06_did_temporal.R + 14_did_decreto_2018.R,sec_appendix_v15,appendix or DROP,"Sun–Abraham staggered DiD on Decreto 2018 cap raise — design returns null. Keep as appendix transparency, do not foreground.",no
tab_stacked_did,table,in_paper,scripts/14_did_decreto_2018.R,sec_appendix_v15,appendix or DROP,"Stacked DiD also null. Bundle with tab_did_revised in single appendix passage.",no
tab_excl_cade,table,in_paper,scripts/02_analysis.R,sec_appendix_v15 (app B),appendix,"Robustness dropping CADE-involved tenders. β unchanged from \valPctSixfour to 0.062. Appendix.",partial
tab_modality_by_year,table,in_paper,scripts/03_tables.R,sec_appendix_v15 (app B),appendix,"Modal mix by year. Standard.",no
